Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Brandon Clarke,Mem,F-G,24.43,22,27.4,57.2,19,5.2,46,0.674,196,0.541,40,0.325,0.532,0.55,12.8,5.5,11,1.7,9.3,1.14,0.68,0.64,7.2,115.3,109.1
Gary Clark,Orl,F,26.27,26,21,43.7,9.4,12.5,7,0.857,15,0.467,87,0.264,0.407,0.423,3.4,3.6,8.8,0.9,5.8,0.38,0.23,0.58,4.2,94.8,110.3
Jordan Clarkson,Uta,G,28.71,31,26.2,54.5,28.4,10.4,49,0.959,197,0.558,263,0.38,0.565,0.589,18.3,3.9,8,2.1,13.4,1.03,0.23,1.81,8.1,113.1,105.2
Amir Coffey,Lac,G-F,23.69,20,7.7,16,14.9,15.4,9,0.333,19,0.526,21,0.524,0.663,0.637,2.8,0.8,5.5,0.4,7.1,0.2,0,0.4,5,110.5,109
John Collins,Atl,F-C,23.42,30,31.5,65.5,21.2,8.7,89,0.854,287,0.585,103,0.379,0.581,0.616,17.6,7.5,13,1.6,8.3,0.47,1,1.37,7.6,121,105
Mike Conley,Uta,G,33.37,25,29.2,60.8,23.1,12.2,73,0.822,143,0.49,170,0.412,0.559,0.594,16.4,3.4,6.3,5.6,28.8,1.44,0.12,1.92,9.3,123.2,104.8
Pat Connaughton,Mil,G,28.13,28,20,41.6,11.7,5.1,15,0.8,47,0.553,95,0.389,0.574,0.589,6.3,3.9,10.2,1.4,8.8,0.68,0.46,0.29,6.5,127.8,105.6
Quinn Cook,Lal,G,27.92,16,3.9,8.1,21.8,9.6,5,0.8,13,0.538,13,0.385,0.558,0.585,2.1,0.3,4.5,0.3,12,0.06,0.06,0.19,5.9,,
DeMarcus Cousins,Hou,C,30.53,25,20.2,42.2,23.1,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,19.9,2.4,17.9,0.84,0.72,1.56,11.1,101.8,92.6
Robert Covington,Por,F,30.2,28,31.3,65.2,11.8,13.2,20,0.85,60,0.45,141,0.34,0.493,0.512,7.7,6.3,10.7,1.8,7.5,1.61,1.07,1.14,5.7,104.3,109
Torrey Craig,Mil,F,30.18,16,11.4,23.8,10.5,10.9,2,0.5,21,0.429,19,0.421,0.525,0.526,2.7,2.4,11.2,0.8,7.9,0.56,0.31,0.31,6.1,115.4,99.3
Jae Crowder,Pho,F,30.64,27,27.4,57.1,16.4,6.7,33,0.848,55,0.491,183,0.361,0.529,0.554,10.4,5,10.1,2.2,10.7,0.93,0.19,0.67,7.1,112.9,104.3
Jarrett Culver,Min,G-F,22.01,16,21.2,44.2,18.3,14.3,33,0.606,80,0.538,31,0.258,0.495,0.518,8.1,5,12.6,0.9,6.5,0.69,0.38,1.31,6.3,99,105.3
Seth Curry,Phi,G,30.51,24,29.6,61.7,17,13,48,0.938,119,0.496,108,0.454,0.584,0.625,12.9,2,3.8,2.7,13,0.79,0.29,1.54,5.6,117.2,109.6
Stephen Curry,Gol,G,32.95,30,34.1,71.1,32.4,12,155,0.935,262,0.573,357,0.423,0.608,0.653,29.9,5.4,8.3,6.2,32.2,1.17,0.07,3.13,11.7,119.8,107.8
Anthony Davis,Lal,F-C,27.96,23,32.8,68.4,27.9,9.3,129,0.713,325,0.575,58,0.293,0.555,0.588,22.5,8.4,14.3,3,15.6,1.39,1.78,1.96,10.1,115.6,100.9
